colony_id,Sample,Diameter,weight1.g,weight2.g,timepoint,site,Notes
1,Standard,7.44,140.4,146,JAN,NA,
2,Standard,6.22,93.271,96.842,JAN,NA,
3,Standard,5.08,46.368,48.827,JAN,NA,
4,Standard,3.16,10.977,11.685,JAN,NA,
5,Standard,2.52,6.212,6.59,JAN,NA,
6,Standard,1.9,2.204,2.411,JAN,NA,
7,Standard,1.18,0.577,0.649,JAN,NA,
POC-470,Coral,,8.75,9.322,FEB,backreef,
POC-467,Coral,,26.767,28.432,FEB,backreef,
POC-471,Coral,,4.48,4.714,FEB,backreef,
POC-475,Coral,,17.217,18.537,FEB,backreef,
POC-474,Coral,,11.571,12.148,FEB,backreef,
POC-472,Coral,,6.285,6.659,FEB,backreef,
POC-473,Coral,,16.372,17.551,FEB,backreef,
POC-468,Coral,,8.295,8.762,FEB,backreef,
POC-466,Coral,,14.497,15.433,FEB,backreef,
POC-469,Coral,,8.605,9.145,FEB,backreef,
